Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Blotched Blue-tongued Lizard,Tiliqua nigrolutea,Reptilia,Squamata,35,29,55,45,2,1
Latitude,Longitude,,,,,,,,
-38.197,145.065,,,,,,,,
-37.5068,144.1763,,,,,,,,
-38.1358,145.1704,,,,,,,,
-38.3858,145.1412,,,,,,,,
-37.5679,144.6104,,,,,,,,
-38.2266,145.3395,,,,,,,,
-38.7901,146.0429,,,,,,,,
-37.6262,145.2646,,,,,,,,
-38.1337,143.3575,,,,,,,,
-38.55,143.04,,,,,,,,
-38.7661,146.0407,,,,,,,,
-37.7945,145.3719,,,,,,,,
-38.3879,145.2786,,,,,,,,
-37.9866,142.6861,,,,,,,,
-38.3823,144.9284,,,,,,,,
-37.74779892,145.1304932,,,,,,,,
-37.0401,147.2762,,,,,,,,
-38.22,145.38,,,,,,,,
-37.643,142.354,,,,,,,,
-38.5982,145.5843,,,,,,,,
-37.6228,143.8437,,,,,,,,
-38.2848,145.0809,,,,,,,,
-37.22,147.22,,,,,,,,
-38.3847,144.9169,,,,,,,,
-37.7484,145.1346,,,,,,,,
-38.4295,145.0542,,,,,,,,
-37.92,145.13,,,,,,,,
-37.5093,145.2786,,,,,,,,
-38.8822,145.9238,,,,,,,,
-37.6852,145.2927,,,,,,,,
-36.8759,148.0403,,,,,,,,
-38.08,146,,,,,,,,
-36.8376,145.8646,,,,,,,,
-36.6135,147.3619,,,,,,,,
-36.5867,147.8536,,,,,,,,
-37.606,145.333,,,,,,,,
-38.3222,144.3228,,,,,,,,
-38.8734,145.9596,,,,,,,,
-37.72,145.08,,,,,,,,
-38.38,147.13,,,,,,,,
-37.75673676,143.9654694,,,,,,,,
-39.03,146.33,,,,,,,,
-37.1554,147.5592,,,,,,,,
-37.9735,143.7096,,,,,,,,
-37.9865,142.6868,,,,,,,,
-37.4991,141.5269,,,,,,,,
-37.789,145.656,,,,,,,,
-36.8045,145.7933,,,,,,,,
-38.3985,144.8798,,,,,,,,
-37.6891,145.3119,,,,,,,,
-38.3479,144.9706,,,,,,,,
-38.2901,146.8763,,,,,,,,
-38.319,145.189,,,,,,,,
-38.3187,145.1716,,,,,,,,
-38.4068,143.5763,,,,,,,,
-37.2226,144.0455,,,,,,,,
-37.0835,148.4082,,,,,,,,
-38.2113,145.0486,,,,,,,,
-38.3472,144.9878,,,,,,,,
-37.8234,145.4096,,,,,,,,
-38.47,145.2,,,,,,,,
-36.1136,147.4213,,,,,,,,
-38.2576,145.0702,,,,,,,,
-37.588,142.322,,,,,,,,
-37.7165184,145.0725708,,,,,,,,
-37.76681347,145.5349445,,,,,,,,
-38.6608,146.7926,,,,,,,,
-36.8734,146.4596,,,,,,,,
-38.3774,144.9068,,,,,,,,
-38.3774,144.9068,,,,,,,,
-37.932,141.104,,,,,,,,
-37.101,148.341,,,,,,,,
-37.7088,145.0698,,,,,,,,
-38.40465345,144.1811036,,,,,,,,
-38.03,143.63,,,,,,,,
-37.7557,145.1844,,,,,,,,
-38.3887,145.1549,,,,,,,,
-38.3901,144.1596,,,,,,,,
-38.3376,144.9491,,,,,,,,
-38.2443,145.0306,,,,,,,,
-37.8602,148.0852,,,,,,,,
-38.3469,144.9672,,,,,,,,
-37.477,144.574,,,,,,,,
-38.3973,144.9205,,,,,,,,
-38.3869,144.1246,,,,,,,,
-38.3818,145.0513,,,,,,,,
-37.7169,145.1819,,,,,,,,
-37.9865,142.6868,,,,,,,,
-37.585758,143.818253,,,,,,,,
-38.3277,145.1713,,,,,,,,
-38.69731308,145.8113113,,,,,,,,
-38.2817,145.0044,,,,,,,,
-38.3442,144.9661,,,,,,,,
-38.4,146.83,,,,,,,,
-38.5898,145.5297,,,,,,,,
-38.3734,146.8763,,,,,,,,
-38.3373,144.9846,,,,,,,,
-38.2901,146.8763,,,,,,,,
-37.7968,145.5536,,,,,,,,
-37.7782,145.1827,,,,,,,,
-37.9333,145.2908,,,,,,,,
-37.6668,145.0936,,,,,,,,
-38.3401,145.1024,,,,,,,,
-38.0574,143.7545,,,,,,,,
-38.3953,145.1696,,,,,,,,
-37.7382,142.3037,,,,,,,,
-38.7068,145.6263,,,,,,,,
-38.0574,143.7545,,,,,,,,
-37.7582,145.2286,,,,,,,,
-37.4378,145.0293,,,,,,,,
-38.3921,144.9224,,,,,,,,
-37.85,145.53,,,,,,,,
-37.9568,146.3096,,,,,,,,
-38.6222,146.8961,,,,,,,,
-36.8509,145.8375,,,,,,,,
-38.8068,146.4596,,,,,,,,
-37.7141,143.2914,,,,,,,,
-38.5568,143.4096,,,,,,,,
-37.9568,145.1429,,,,,,,,
-37.7901,145.7096,,,,,,,,
-38.6701,146.5707,,,,,,,,
-37.6499,145.2187,,,,,,,,
-38.6525,146.6743,,,,,,,,
-37.7568,145.6763,,,,,,,,
-38.7068,146.5429,,,,,,,,
-37.4568,146.6596,,,,,,,,
-38.23530859,142.0738167,,,,,,,,
-38.4272,145.5182,,,,,,,,
-37.3963,144.9231,,,,,,,,
-38.6703,146.6052,,,,,,,,
-38.8056,146.4237,,,,,,,,
-38.1281,145.2619,,,,,,,,
-37.5328,145.2283,,,,,,,,
-37.7901,145.5429,,,,,,,,
-38.8502,145.9704,,,,,,,,
-38.83,146.43,,,,,,,,
-38.7464,146.4851,,,,,,,,
-38.3743,144.2361,,,,,,,,
-38.395,144.226,,,,,,,,
-38.7068,146.6263,,,,,,,,
-37.5578,145.3307,,,,,,,,
-37.42,144.98,,,,,,,,
-36.4,147.567,,,,,,,,
-38.7068,146.6263,,,,,,,,
-38.0164,143.3201,,,,,,,,
-38.7901,146.4596,,,,,,,,
-38.7515,146.6393,,,,,,,,
-38.7401,146.4763,,,,,,,,
-37.42,144.98,,,,,,,,
-38.6901,146.5429,,,,,,,,
-38.52,145.25,,,,,,,,
