Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Dusky Antechinus,Antechinus swainsonii,Mammalia,Dasyuromorphia,17,13,45,35,0.738,0.583
Latitude,Longitude,,,,,,,,
-38.5818,143.5846,,,,,,,,
-37.1401,148.4595,,,,,,,,
-37.8734,145.7096,,,,,,,,
-37.5567,148.1762,,,,,,,,
-37.3734,145.2096,,,,,,,,
-38.4166,143.9416,,,,,,,,
-37.364,148.786,,,,,,,,
-37.408,148.683,,,,,,,,
-37.5734,148.1762,,,,,,,,
-37.4901,147.9262,,,,,,,,
-37.4568,145.1263,,,,,,,,
-38.5401,143.3763,,,,,,,,
-38.3373,144.9846,,,,,,,,
-37.8031,148.7204,,,,,,,,
-38.5654,143.9115,,,,,,,,
-36.8179,146.2192,,,,,,,,
-36.9568,146.5429,,,,,,,,
-37.405,144.309,,,,,,,,
-37.4568,145.2096,,,,,,,,
-37.1633,148.4367,,,,,,,,
-37.3442,142.2956,,,,,,,,
-37.9326,145.3905,,,,,,,,
-38.5401,143.8763,,,,,,,,
-37.24,142.343,,,,,,,,
-38.5717,143.9462,,,,,,,,
-37.428,148.696,,,,,,,,
-37.1408,148.3608,,,,,,,,
-38.0415,145.6628,,,,,,,,
-37.5234,149.8095,,,,,,,,
-37.2735,142.3096,,,,,,,,
-38.3973,144.9205,,,,,,,,
-37.3379,148.4603,,,,,,,,
-37.456,145.69,,,,,,,,
-37.1567,148.4429,,,,,,,,
-37.3401,148.4595,,,,,,,,
-38.3472,144.9878,,,,,,,,
-38,145.7,,,,,,,,
-37.7749,149.3136,,,,,,,,
-38.257,141.493,,,,,,,,
-36.8769,147.2991,,,,,,,,
-37.7528,148.6466,,,,,,,,
-38.6568,143.4763,,,,,,,,
-37.29,142.31,,,,,,,,
-38.2402,141.6763,,,,,,,,
-37.17,142.48,,,,,,,,
-37.7901,146.3763,,,,,,,,
-37.8735,142.0263,,,,,,,,
-37.17,142.45,,,,,,,,
-37.8589,145.7775,,,,,,,,
-37.4067,148.9095,,,,,,,,
-37.4197,144.3372,,,,,,,,
-36.9049,145.9287,,,,,,,,
-37.1518,146.4387,,,,,,,,
-37.8734,146.1263,,,,,,,,
-37.3624,148.7194,,,,,,,,
-38.1902,141.6763,,,,,,,,
-37.2852,148.9285,,,,,,,,
-37.4145,148.9036,,,,,,,,
-36.4133,147.8918,,,,,,,,
-37.15,146.43,,,,,,,,
-38.173,141.643,,,,,,,,
-37.9452,145.6804,,,,,,,,
-37.4179,142.2563,,,,,,,,
-37.344,142.297,,,,,,,,
-37.8517,145.7014,,,,,,,,
-37.0583,146.8218,,,,,,,,
-37.1349,142.4858,,,,,,,,
-37.42,144.336,,,,,,,,
-37.1536,146.4308,,,,,,,,
-37.4401,148.7429,,,,,,,,
-37.1277,146.8127,,,,,,,,
-37.3901,148.7762,,,,,,,,
-37.8068,146.1429,,,,,,,,
-37.0618,146.7431,,,,,,,,
-37.33,142.3,,,,,,,,
-37.1087,146.7485,,,,,,,,
-37.3963,142.2514,,,,,,,,
-37.0593,146.8252,,,,,,,,
-37.8901,145.8096,,,,,,,,
-37.373,145.863,,,,,,,,
-37.4205,142.2609,,,,,,,,
-37.7901,145.3763,,,,,,,,
-37.2067,148.8262,,,,,,,,
-38.388,145.032,,,,,,,,
-37.8902,141.2931,,,,,,,,
-37.3453,142.2969,,,,,,,,
-37.7401,149.3262,,,,,,,,
-37.9124,145.4262,,,,,,,,
-37.4924,146.8301,,,,,,,,
-37.25,146.43,,,,,,,,
-38.1902,141.3263,,,,,,,,
-37.0915,142.4264,,,,,,,,
-38.3994,144.1867,,,,,,,,
-37.034,142.463,,,,,,,,
-38.207,141.343,,,,,,,,
-37.4154,149.5307,,,,,,,,
-37.2901,148.9262,,,,,,,,
-37.3068,142.6096,,,,,,,,
-38.5401,143.7263,,,,,,,,
-37.1976,148.8294,,,,,,,,
-37.7837,148.8131,,,,,,,,
-37.4116,149.6232,,,,,,,,
-37.0897,142.4264,,,,,,,,
-37.7557,145.6554,,,,,,,,
-37.5979,149.1393,,,,,,,,
-37.3567,148.7262,,,,,,,,
-37.6901,145.5263,,,,,,,,
-36.9564,147.2208,,,,,,,,
-37.3735,144.5929,,,,,,,,
-37.5859,149.4764,,,,,,,,
-37.6845,145.5762,,,,,,,,
-37.8734,146.2929,,,,,,,,
-37.5476,149.4548,,,,,,,,
,,,,,,,,,
-37.6734,146.2096,,,,,,,,
-38.4215,144.1393,,,,,,,,
-37.4259,148.6869,,,,,,,,
-37.2743,148.8798,,,,,,,,
-37.0384,142.4142,,,,,,,,
-37.5839,146.1908,,,,,,,,
-36.7275,146.8035,,,,,,,,
-37.7568,146.1596,,,,,,,,
-37.1901,148.7595,,,,,,,,
-37.4224,144.3393,,,,,,,,
-37.4327,145.1651,,,,,,,,
-38.3979,144.1828,,,,,,,,
-38.2998,141.4297,,,,,,,,
-38.2068,141.3263,,,,,,,,
-37.6324,149.4938,,,,,,,,
-37.6842,149.1554,,,,,,,,
-37.8901,146.1429,,,,,,,,
-38.0301,146.5289,,,,,,,,
-38.0346,146.5232,,,,,,,,
-37.8794,145.3894,,,,,,,,
-37.4477,149.5792,,,,,,,,
-37.5188,145.3569,,,,,,,,
-37.3939,148.7811,,,,,,,,
-37.4224,144.3382,,,,,,,,
-37.0333,142.4636,,,,,,,,
-37.1848,148.7795,,,,,,,,
-38.5333,146.2469,,,,,,,,
-38.4653,144.0952,,,,,,,,
-37.89,142.043,,,,,,,,
-36.7263,147.3064,,,,,,,,
-37.6728,145.7374,,,,,,,,
-37.873,142.043,,,,,,,,
-37.8325,145.6756,,,,,,,,
-37.5401,145.3263,,,,,,,,
-37.2734,148.8762,,,,,,,,
-37.0567,147.8596,,,,,,,,
-37.7557,148.7523,,,,,,,,
-37.8734,145.3763,,,,,,,,
-37.151,146.441,,,,,,,,
-37.7901,145.7096,,,,,,,,
-37.428,145.146,,,,,,,,
-38.6578,143.5004,,,,,,,,
-37.7401,149.4929,,,,,,,,
-37.7401,149.4595,,,,,,,,
-37.7401,149.0429,,,,,,,,
-37.7567,148.7429,,,,,,,,
-37.3901,144.5763,,,,,,,,
-38.457,144.943,,,,,,,,
-38.3216,141.4035,,,,,,,,
-38.4718,143.9421,,,,,,,,
-37.7901,146.0429,,,,,,,,
-39.0068,146.3096,,,,,,,,
-37.9208,145.3828,,,,,,,,
-37.7567,148.7762,,,,,,,,
-38.493,142.869,,,,,,,,
-37.8901,142.0597,,,,,,,,
-37.6901,149.1095,,,,,,,,
-37.0818,146.8409,,,,,,,,
-37.6992,148.9097,,,,,,,,
-37.72,148.73,,,,,,,,
-37.4343,142.4747,,,,,,,,
-37.7486,149.0824,,,,,,,,
-37.8734,145.7929,,,,,,,,
-37.3881,144.7708,,,,,,,,
-37.7067,148.9095,,,,,,,,
-38.6058,143.9166,,,,,,,,
-37.7305,149.0331,,,,,,,,
-39.0401,146.4596,,,,,,,,
-38.9126,146.3732,,,,,,,,
-37.9901,145.6929,,,,,,,,
-37.273,143.193,,,,,,,,
-37.7401,148.9095,,,,,,,,
-38.5861,143.4807,,,,,,,,
-37.7234,148.7262,,,,,,,,
-38.04,141.293,,,,,,,,
-37.7401,149.4762,,,,,,,,
-36.276,147.472,,,,,,,,
-37.7932,148.5919,,,,,,,,
-38.4568,143.2096,,,,,,,,
-37.7901,145.7929,,,,,,,,
-37.8234,145.3763,,,,,,,,
-38.373,143.293,,,,,,,,
-37.7401,149.1095,,,,,,,,
-37.7481,149.1107,,,,,,,,
-38.4148,144.9273,,,,,,,,
-37.754,148.742,,,,,,,,
-39.1234,146.3929,,,,,,,,
-37.9961,141.0149,,,,,,,,
-37.2133,142.2529,,,,,,,,
-39.0234,146.4429,,,,,,,,
-39.0734,146.4263,,,,,,,,
-37.7567,148.6595,,,,,,,,
-36.667,147.515,,,,,,,,
-37.4568,145.2929,,,,,,,,
-37.7567,149.1095,,,,,,,,
-37.9853,146.3812,,,,,,,,
-38.4161,143.1954,,,,,,,,
-37.6734,148.6762,,,,,,,,
-38.5068,146.5263,,,,,,,,
-37.3712,145.8634,,,,,,,,
-38.2484,146.5846,,,,,,,,
-38.3401,145.1024,,,,,,,,
-37.7901,148.6096,,,,,,,,
-37.7351,149.4962,,,,,,,,
-37.2901,142.6263,,,,,,,,
-38.6587,143.8164,,,,,,,,
-37.0134,146.9208,,,,,,,,
-37.1295,146.8126,,,,,,,,
-39.0901,146.3763,,,,,,,,
-37.7555,148.7693,,,,,,,,
-37.4166,145.5655,,,,,,,,
-37.0639,146.9928,,,,,,,,
-37.6852,149.0976,,,,,,,,
-37.9883,145.5897,,,,,,,,
-37.98,145.81,,,,,,,,
-37.3846,144.5903,,,,,,,,
-36.2703,147.5195,,,,,,,,
-37.6901,148.8095,,,,,,,,
-38.6656,143.6374,,,,,,,,
-37.9234,146.6263,,,,,,,,
-39.0901,146.4429,,,,,,,,
-38.4577,143.5886,,,,,,,,
-38.1578,141.5265,,,,,,,,
-37.5568,145.8929,,,,,,,,
-37.8199,147.9505,,,,,,,,
-37.7989,148.6352,,,,,,,,
-37.4804,145.8787,,,,,,,,
-39.1068,146.3763,,,,,,,,
-37.7516,148.7306,,,,,,,,
-37.7401,148.7762,,,,,,,,
-37.2484,146.5846,,,,,,,,
-37.75,149.166,,,,,,,,
-37.426,142.458,,,,,,,,
-37.516667,149.166667,,,,,,,,
-38.6611,143.6361,,,,,,,,
-37.192,142.48,,,,,,,,
-38.0007,145.7239,,,,,,,,
-38.35,141.6,,,,,,,,
-38.3657,145.0159,,,,,,,,
-37.4197,145.9429,,,,,,,,
-38.495,143.072,,,,,,,,
-37.6834,145.5638,,,,,,,,
-37.9068,141.9763,,,,,,,,
-37.5571,145.8866,,,,,,,,
-38.595,143.917,,,,,,,,
-38.6036,143.6294,,,,,,,,
-37.8234,145.3929,,,,,,,,
-37.23,142.457,,,,,,,,
-38.6235,143.7096,,,,,,,,
-37.7512,148.9258,,,,,,,,
-37.0083,148.0583,,,,,,,,
-37.272,148.084,,,,,,,,
-36.8969,147.2184,,,,,,,,
-36.8698,148.3302,,,,,,,,
-37.541,145.842,,,,,,,,
-37.2,142.52,,,,,,,,
-36.9547,147.1579,,,,,,,,
-38.4151,146.5846,,,,,,,,
