Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Gippsland Water Dragon,Intellagama lesueurii,Reptilia,Squamata,35,25,90,75,1.32,1.18
Latitude,Longitude,,,,,,,,
-38.03,144.17,,,,,,,,
-37.72,148.47,,,,,,,,
-37.68,146.22,,,,,,,,
-37.53,146.52,,,,,,,,
-37.18,148.1,,,,,,,,
-37.7291,145.2145,,,,,,,,
-37.4,147.1,,,,,,,,
-37.7807,148.7733,,,,,,,,
-37.6227,147.9265,,,,,,,,
-37.99428115,145.1458112,,,,,,,,
-37.6709,147.8704,,,,,,,,
-37.101,148.341,,,,,,,,
-37.4003,148.4434,,,,,,,,
-37.8314,147.8632,,,,,,,,
-37.7988,145.0095,,,,,,,,
-37.6626,148.5154,,,,,,,,
-37.4767,148.3081,,,,,,,,
-37.7,148.45,,,,,,,,
-37.3491,149.2055,,,,,,,,
-37.1142,148.3243,,,,,,,,
-37.7786,149.3069,,,,,,,,
-37.4744,149.6544,,,,,,,,
-37.4797,149.5555,,,,,,,,
-37.49513717,148.1673074,,,,,,,,
-37.599,146.594,,,,,,,,
-37.5838,147.6927,,,,,,,,
-37.7449,147.7216,,,,,,,,
-37.8,145,,,,,,,,
-37.8484,146.4017,,,,,,,,
-37.5401,146.7096,,,,,,,,
-37.4484,146.9346,,,,,,,,
-37.8,144.9,,,,,,,,
-37.489,149.575,,,,,,,,
-37.8664,146.4072,,,,,,,,
-37.85242,146.4310842,,,,,,,,
-37.3624,149.5616,,,,,,,,
-38.1747552,146.2626215,,,,,,,,
-37.3836,148.4849,,,,,,,,
-37.7151,149.5679,,,,,,,,
-37.3702,148.6789,,,,,,,,
-37.4004,149.5155,,,,,,,,
-37.85399111,146.4307722,,,,,,,,
-37.5401,146.6262,,,,,,,,
-37.5915,149.1493,,,,,,,,
-37.8023,145.0026,,,,,,,,
-37.6047,149.4827,,,,,,,,
-37.65699768,148.5129547,,,,,,,,
-37.4545,148.5756,,,,,,,,
-37.50935892,149.7320676,,,,,,,,
-37.4156,149.5205,,,,,,,,
-37.0921,148.4387,,,,,,,,
-37.1389,148.6546,,,,,,,,
-37.481,147.831,,,,,,,,
-37.67887597,147.3729192,,,,,,,,
-37.4442,149.6933,,,,,,,,
-37.4517,149.5613,,,,,,,,
-37.4734,149.5929,,,,,,,,
-37.79981513,145.0141354,,,,,,,,
-37.4961,149.2835,,,,,,,,
-37.4802,149.5549,,,,,,,,
-36.9493,148.3226,,,,,,,,
-37.3985,148.4434,,,,,,,,
-37.68701652,147.3708622,,,,,,,,
-37.3734,147.7929,,,,,,,,
-37.82916667,144.9826667,,,,,,,,
-37.5664,147.3404,,,,,,,,
-37.6343,149.4916,,,,,,,,
-37.4568,146.9596,,,,,,,,
-37.4209,149.5252,,,,,,,,
