Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Red Fox,Vulpes vulpes,Mammalia,Carnivora,32,22,73,62,5.3,2.34
Latitude,Longitude,,,,,,,,
-34.11898101,141.9969877,,,,,,,,
-37.78,145.12,,,,,,,,
-34.08,141.08,,,,,,,,
-37.25,142.3,,,,,,,,
-37.7,145.55,,,,,,,,
-38.38,142.5,,,,,,,,
-35.13782786,143.3845427,,,,,,,,
-37.6,141.68,,,,,,,,
-37.766,144.9,,,,,,,,
-35.21487175,143.555765,,,,,,,,
-37.16824568,148.9314854,,,,,,,,
-38.58,143.33,,,,,,,,
-38.15,144.37,,,,,,,,
-37.95,146.23,,,,,,,,
-37.3,144.95,,,,,,,,
-36.13,146.88,,,,,,,,
-38.8226,143.5879,,,,,,,,
-37.6592,147.5773,,,,,,,,
-37.582,144.78,,,,,,,,
-37.9127,144.4253,,,,,,,,
-38.319,145.189,,,,,,,,
-38.2549,143.2386,,,,,,,,
-34.78,142.121,,,,,,,,
-37.38906238,144.2671502,,,,,,,,
-35.9675,141.3994,,,,,,,,
-38.3819,144.2542,,,,,,,,
-38.59,145.536,,,,,,,,
-37.0984,148.4345,,,,,,,,
-38.22771315,142.066977,,,,,,,,
-36.1916,144.7941,,,,,,,,
-38.3567,145.0161,,,,,,,,
-38.2478,145.2476,,,,,,,,
-37.7716,145.0545,,,,,,,,
-38.5848,145.5351,,,,,,,,
-37.2901,144.4596,,,,,,,,
-35.7068,143.9596,,,,,,,,
-37.3735,144.5429,,,,,,,,
-37.0901,143.4263,,,,,,,,
-38.1068,147.4429,,,,,,,,
-34.8038,142.9959,,,,,,,,
-38.5889,145.5315,,,,,,,,
-35.6324,143.9812,,,,,,,,
-36.175,146.558,,,,,,,,
-37.6301,145.1092,,,,,,,,
-38.0901,147.5429,,,,,,,,
-38.3376,144.9491,,,,,,,,
-38.6953,145.6121,,,,,,,,
-36.744,146.211,,,,,,,,
-38.0375,146.2189,,,,,,,,
-38.2576,145.0702,,,,,,,,
-37.7429,145.3595,,,,,,,,
-38.2817,145.0044,,,,,,,,
-37.2929,141.0741,,,,,,,,
-38.8568,146.4096,,,,,,,,
-37.2226,144.0455,,,,,,,,
-37.364,148.786,,,,,,,,
-36.8906,146.5412,,,,,,,,
-38.3887,145.1549,,,,,,,,
-37.6519,144.6772,,,,,,,,
-37.8734,147.9262,,,,,,,,
-35.3384,143.5262,,,,,,,,
-37.4137,148.9533,,,,,,,,
-37.9094,141.1271,,,,,,,,
-38.3479,144.9706,,,,,,,,
-37.7022,148.8383,,,,,,,,
-37.7971,145.1254,,,,,,,,
-38.3442,144.9661,,,,,,,,
-35.2568,142.3263,,,,,,,,
-37.4907,144.3301,,,,,,,,
-37.4777,144.9891,,,,,,,,
-37.5181,142.1516,,,,,,,,
-37.7562,145.1049,,,,,,,,
-38.2616,144.6004,,,,,,,,
-36.1315,147.2251,,,,,,,,
-36.9872,147.1444,,,,,,,,
-38.3405,145.5646,,,,,,,,
-35.2262,142.3535,,,,,,,,
-37.915,144.749,,,,,,,,
-37.4304,148.6881,,,,,,,,
-37.69,149.46,,,,,,,,
-37.4234,145.1763,,,,,,,,
-38.00446514,145.1257684,,,,,,,,
-38.3918,145.5647,,,,,,,,
-35.5401,142.0429,,,,,,,,
-37.7647,145.1853,,,,,,,,
-37.965,147.587,,,,,,,,
-37.826,144.698,,,,,,,,
-36.342,145.363,,,,,,,,
-38.37,145,,,,,,,,
-37.1109,148.2972,,,,,,,,
-37.4429,144.2996,,,,,,,,
-37.4401,144.2596,,,,,,,,
-37.7284,144.6586,,,,,,,,
-38.3708,145.0008,,,,,,,,
-38,145.72,,,,,,,,
-37.8029,145.2059,,,,,,,,
-36.2901,143.6263,,,,,,,,
-37.859,148.005,,,,,,,,
-37.878,147.518,,,,,,,,
-35.9491,141.8911,,,,,,,,
-37.477,144.574,,,,,,,,
-37.7053,144.6696,,,,,,,,
-37.9981,145.1283,,,,,,,,
-36.9901,147.1096,,,,,,,,
-37.668,147.596,,,,,,,,
-37.42438612,143.7139263,,,,,,,,
-37.8453,144.7378,,,,,,,,
-37.763,144.578,,,,,,,,
-37.8829,145.1915,,,,,,,,
-38.3239,144.7047,,,,,,,,
-36.8994,146.5403,,,,,,,,
-37.6714,145.4699,,,,,,,,
-34.7068,142.2929,,,,,,,,
-37.7754,149.3772,,,,,,,,
-38.5401,143.8763,,,,,,,,
-37.4568,143.8763,,,,,,,,
-37.5742,145.1616,,,,,,,,
-35.2046,142.3531,,,,,,,,
-38.2985,145.2243,,,,,,,,
-36.9038,146.5319,,,,,,,,
-38.0234,147.5429,,,,,,,,
-35.7901,144.2763,,,,,,,,
-37.5613,145.0872,,,,,,,,
-37.9,144,,,,,,,,
-37.8346,144.7116,,,,,,,,
-36.8105,146.1845,,,,,,,,
-37.7758,149.3113,,,,,,,,
-38.5401,145.1263,,,,,,,,
-37.9229,147.0519,,,,,,,,
-36.7445,144.1737,,,,,,,,
-38.6235,143.8763,,,,,,,,
-37.456,145.69,,,,,,,,
-37.7968,145.5536,,,,,,,,
-38.3219,144.7016,,,,,,,,
-38.2734,147.3262,,,,,,,,
-37.4564,144.5766,,,,,,,,
-36.58,142.94,,,,,,,,
-37.7883,144.5908,,,,,,,,
-35.5646,144.0161,,,,,,,,
-36.1335,146.9517,,,,,,,,
-37.8542,144.5125,,,,,,,,
-38.4568,145.2929,,,,,,,,
-37.4397,149.5744,,,,,,,,
-34.8232,142.9837,,,,,,,,
-37.1365,142.4982,,,,,,,,
-37.1994,145.7277,,,,,,,,
-36.134,146.555,,,,,,,,
-36.6901,145.0263,,,,,,,,
-37.215,144.652,,,,,,,,
-37.9734,147.7429,,,,,,,,
-36.8616,144.2338,,,,,,,,
-38.3734,146.8763,,,,,,,,
-37.771,145.218,,,,,,,,
-36.4518,141.6659,,,,,,,,
-36.8044,144.2656,,,,,,,,
-37.31870651,143.8412476,,,,,,,,
-36.9919,147.1486,,,,,,,,
-38.2813,143.8149,,,,,,,,
-38.3277,145.1713,,,,,,,,
-37.207,142.293,,,,,,,,
-36.12,146.92,,,,,,,,
-37.8044,144.7663,,,,,,,,
-37.9088,144.6097,,,,,,,,
-38.4259,146.5711,,,,,,,,
-38.3187,145.1716,,,,,,,,
-38.0175,145.1497,,,,,,,,
-37.7974,145.1413,,,,,,,,
-37.216,143.449,,,,,,,,
-38.0401,147.2762,,,,,,,,
-38.6633,145.6129,,,,,,,,
-38.3466,144.9477,,,,,,,,
-38.0234,147.5596,,,,,,,,
-37.9175,144.6526,,,,,,,,
-37.873,144.293,,,,,,,,
-37.7474,144.5763,,,,,,,,
-38.578,143.648,,,,,,,,
-38.2335,145.0297,,,,,,,,
-37.4115,142.0226,,,,,,,,
-36.5306,142.8372,,,,,,,,
-38.3469,144.9672,,,,,,,,
-38.3472,144.9878,,,,,,,,
-38.3472,144.9832,,,,,,,,
-36.1235,143.9596,,,,,,,,
-37.5067,148.1262,,,,,,,,
-38.5898,145.5297,,,,,,,,
-38.0036,144.5985,,,,,,,,
-38.6558,145.6124,,,,,,,,
-37.6361,147.6473,,,,,,,,
-37.3734,145.2096,,,,,,,,
-35.6734,144.1596,,,,,,,,
-36.7837,144.9902,,,,,,,,
-37.6196,143.6359,,,,,,,,
-37.4649,144.5538,,,,,,,,
-38.2568,147.3596,,,,,,,,
-38.2901,147.3096,,,,,,,,
-38.0415,145.6628,,,,,,,,
-37.7401,145.2096,,,,,,,,
-37.8568,144.5429,,,,,,,,
-35.8735,143.8596,,,,,,,,
-38.42,144.98,,,,,,,,
-38.1239,142.0401,,,,,,,,
-36.9688,144.2742,,,,,,,,
-37.4379,142.4771,,,,,,,,
-38.3467,145.5692,,,,,,,,
-36.2038,146.9539,,,,,,,,
-38.3611,146.3872,,,,,,,,
