Name,Scientific Name,Class,Order
Red Wattlebird,Anthochaera carunculata,Aves,Passeriformes
Latitude,Longitude,,
-37.604599,144.2386932,,
-37.77,144.95,,
-37.80511093,145.1451416,,
-38.03,145.33,,
-37.83,145.07,,
-37.82,144.97,,
-37.82,144.98,,
-37.85,145.02,,
-37.18,145.7,,
-37.97,145.03,,
-37.82,145.18,,
-38.1930316,146.2639689,,
-37.7366,145.078,,
-37.7366,145.078,,
-37.82,144.98,,
-37.82,145.18,,
-37.82,145.05,,
-37.85,145.28,,
-38.05,145.37,,
-37.8,145.67,,
-38.18,144.33,,
-37.5,148.27,,
-37.97,145.07,,
-35.75,141.38,,
-38.1491394,144.3292847,,
-36.58,145.02,,
-34.28,142.08,,
-38.3157,144.341,,
-37.82,145.2,,
-37.77,145.13,,
-36.58,145.02,,
-37.8,145,,
-37.5,148.27,,
-36.58,145.02,,
-37.73,142.02,,
-38.65,146.37,,
-37.67,148.08,,
-35.23,141.37,,
-37.77,144.23,,
-37.80337906,145.180069,,
-36.75,144.27,,
-37.95,145.22,,
-35.23,141.37,,
-35.23,141.37,,
-38.05,145.37,,
-38.65,146.2,,
-37.2553636,142.6288195,,
-37.95,145.22,,
-37.15,142.85,,
-35.17,141.68,,
-35.17,141.68,,
-37.92,145.18,,
-37.75,142.03,,
-36.75,144.27,,
-34.66699982,142.3329926,,
-36.83,142.38,,
-36.37,141.8,,
-36.78,144.27,,
-37.05,144.13,,
-38.15,141.28,,
-37.05,142.78,,
-34.23,142.03,,
-37.65,145.65,,
-37.83498,145.54722,,
-37.88,148,,
-38.409,144.957,,
-37.18,146.57,,
-37.68,144.58,,
-37.4,144.58,,
-37.92,144.98,,
-35.97,144.37,,
-37.8,145.67,,
-37.78,145.13,,
-37.85,148.1,,
-37.83,144.57,,
-37.68,144.58,,
-38.67,146.68,,
-37.88,145.17,,
-38.35,144.73,,
-37.7463,145.055,,
-35.15,142.28,,
-38.25,145.28,,
-37.83,144.57,,
-38.47,145.02,,
-37.58,141.4,,
-37.74842072,145.3419495,,
-36.53,144.2,,
-37.78,144.95,,
-38.47,144.1,,
-36.75,144.27,,
-37.3847608,144.5242018,,
-37.78143311,145.0610809,,
-36.75,144.27,,
-37.95,145.15,,
-37.37,144.53,,
-37.77,145.1,,
-37.91903687,147.1068573,,
-36.82,144.22,,
-37.73369598,144.9743805,,
-37.87,145.28,,
-37.97,145.07,,
-37.05,142.783,,
-38.12,147.07,,
-37.78,145.13,,
-37.52,143.87,,
-36.13,141.43,,
-37.05,142.78,,
-38.38,147.18,,
-37.79894638,145.259964,,
-38,145.08,,
-37.82,144.97,,
-37.333,145.083,,
-38.65,146.3,,
-38.216667,145.383333,,
-37.68,144.58,,
-38.23,145.18,,
-37.73,145.22,,
-34.77,142.27,,
-37.05,142.78,,
-38.38,145.13,,
-36.13,141.43,,
-37.77,145.05,,
-37.75,145.7,,
-37.8768,145.303,,
-36.13,141.43,,
-37.83227539,145.2012177,,
-38.77,146.08,,
-34.75,142.33,,
-38.16041183,145.9329987,,
-36.33,141.65,,
-37.75,145.07,,
-38.67,146.33,,
-37.75,145.07,,
-37.75,145.07,,
-37.77,145.1,,
-37.75,142.03,,
-37.83,144.97,,
-37.8,148.53,,
-37.75,145.07,,
-37.75,142.03,,
-37.62,144.35,,
-36.433,141.733,,
-37.72,145.15,,
-34.6,142.22,,
-37.75,145.07,,
-37.78,144.97,,
-36.82,144.22,,
-34.7,142.28,,
-37.52364731,145.280899,,
-37.72,145.15,,
-36.33,141.65,,
-37.22,145.43,,
-37.75,145.07,,
-36.33,141.65,,
-38.25,145.17,,
-37.88,145.13,,
-37.77,145.08,,
-37.8579683,144.776224,,
-37.77,145.1,,
-36.35,141.78,,
-37.5,143.85,,
-37.52,143.87,,
-37.97,145.12,,
-37.78143311,145.0610809,,
-37.7,145.1,,
-36.9520874,143.1134033,,
-37.57,149.75,,
-36.93,141.33,,
-34.75,142.33,,
-36.58,145.02,,
-36.93,141.33,,
-37.79252243,145.133606,,
-37.22,148.27,,
-34.75,142.33,,
-39.03050613,146.3217926,,
-37.61021991,141.6877556,,
-37.9,145.37,,
-37.95,144.43,,
-37.93,145,,
-37.82,144.97,,
-37.12,141.687,,
-35.07,142.32,,
-37.67,148.08,,
-35.23,141.37,,
-37.12,141.687,,
-36.05,146.62,,
-37.88,145.13,,
-37.6224277,143.8919855,,
end,,,
