Name,Scientific Name,Class,Order
Spotted-tailed Quoll,Dasyurus maculatus maculatus,Mammalia,Dasyuromorphia
Latitude,Longitude,,
-38.483333,143.516667,,
-37.263,148.858,,
-37.4151,147.8346,,
-37.9425,146.4104,,
-37.1401,148.2929,,
-37.499,141.166,,
-38.123,141.793,,
-36.967,148.506,,
-37.1901,148.2929,,
-36.9875,148.5817,,
-36.9773,148.5388,,
-38.65,143.52,,
-37.6766,149.0724,,
-37.4616,148.5814,,
-36.9874,148.5895,,
-37.263,148.858,,
-38.1235,141.8763,,
-37.3983,148.9043,,
-38.1235,141.8763,,
-38.13,141.73,,
-36.9643,148.4947,,
-36.9362,148.4335,,
-36.9732,148.5039,,
-37.1234,148.2929,,
-36.9642,148.5014,,
-38.7068,146.2929,,
-38.65,143.52,,
-37.0061,148.4742,,
-37.1416,148.3687,,
-36.9568,147.1262,,
-37.869,145.804,,
-38.6,143.57,,
-38.4568,143.6263,,
-37.028,148.451,,
-37.2067,148.3595,,
-37.0952,148.3296,,
-37.026,148.723,,
-37.0912,148.3122,,
-37.9401,145.9596,,
-37.88,147.68,,
-37.88,147.68,,
-36.4462,146.7752,,
-37.3989,145.8381,,
-37.4841,147.9162,,
-36.223,146.949,,
-37.4937,149.2687,,
-37.72,147.62,,
-37.9228,145.4635,,
-37.5416,145.3311,,
-38.4165,144.1555,,
-38.3735,143.8763,,
-37.8734,147.6262,,
-37.0912,148.3122,,
-36.793,147.301,,
-36.4453,146.7764,,
-37.3836,148.4838,,
-37.5208,147.8827,,
-38.8318,143.5846,,
-38.5688,143.8474,,
-37.3826,148.8158,,
-38.5688,143.8474,,
-37.2473,146.4256,,
-36.793,147.301,,
-38.4568,143.6263,,
-37.4498,148.8389,,
-37.5692,144.1147,,
-38.2363,141.7127,,
-36.8201,146.0207,,
-37.3401,148.3929,,
-37.8539,148.0874,,
-37.0912,148.3122,,
-38.1235,141.9597,,
-36.954,148.289,,
-37.5663,149.3365,,
-37.82,145.23,,
-36.9901,148.4762,,
-37.1086,148.3272,,
-37.8658,148.0614,,
-37.0401,148.2929,,
-37.4568,145.4596,,
-37.02,148.5,,
-38.15,142.03,,
-38.17,141.97,,
-38.63,143.57,,
-36.954,148.289,,
-38.082,141.918,,
-38.15,141.85,,
-37.3533,148.7858,,
-37.097,148.326,,
-36.63,146.87,,
-37.2901,145.5429,,
-36.987,148.481,,
-37.97,147.77,,
-36.9539,148.2889,,
-37.0902,148.3119,,
-37.02,148.5,,
-38.48,143.95,,
-37.0983,148.3279,,
-34.9563,143.2284,,
-37.0882,148.4165,,
-38.15,141.95,,
-36.954,148.289,,
-38.12,141.98,,
-38.63,143.57,,
-38.0402,141.8763,,
-37.2067,148.6262,,
-36.9734,148.5095,,
-38.35,144,,
-36.6821,147.3499,,
-38.52,143.53,,
-36.954,148.289,,
-36.98,148.38,,
-36.9987,148.4819,,
-37.12,148.47,,
-37.112,148.329,,
-37.82,145.23,,
-37.3734,148.3762,,
-37.8031,148.7204,,
-38.7068,143.7096,,
-38.07,141.93,,
-38.35,144,,
-37.1234,148.7095,,
-36.15,146.62,,
-36.9901,148.4929,,
-37.5901,147.3596,,
-37.0999,148.3283,,
-38.1235,141.9597,,
-38.12,141.98,,
-37.2901,145.7096,,
-37.2015,142.4339,,
-37.2022,142.4327,,
-37.4366,148.8591,,
-37.0969,148.3262,,
-38.13344805,144.5240112,,
-38.7068,143.7096,,
-37.93,146.67,,
-38.623,143.793,,
-36.3834,146.5837,,
-37.0754,148.4811,,
-37.8317,146.3177,,
-36.2484,146.5846,,
-38.53,143.72,,
-37.1234,148.4262,,
-37.5,148.2667,,
-37.93,146.67,,
-37.8031,148.7204,,
-36.9567,148.2929,,
-36.9539,148.2889,,
-38.019,146.349,,
-37.1234,148.4595,,
-36.4707,147.0844,,
-36.0436,147.2642,,
-36.8185,147.2294,,
-37.0612,148.3329,,
-37.67,142.43,,
-38.77,143.67,,
-37.8031,148.7204,,
-38.13,141.95,,
-37.0613,148.3329,,
-37.1401,148.2929,,
-37.2067,148.3762,,
-36.7373,146.4264,,
-36.8849,148.3354,,
