Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Stumpy-tailed Lizard,Tiliqua rugosa,Reptilia,Squamata,33,31,45,35,6.7,5.6
Latitude,Longitude,,,,,,,,
-36.5943,143.7015,,,,,,,,
-37.3735,142.3763,,,,,,,,
-37.2068,142.2096,,,,,,,,
-37.1433,141.1032,,,,,,,,
-37.2068,142.2096,,,,,,,,
-37.2068,142.2096,,,,,,,,
-35.6435,141.5906,,,,,,,,
-35.747,141.734,,,,,,,,
-34.7926,141.7124,,,,,,,,
-37.2068,142.2096,,,,,,,,
-37.13,142.63,,,,,,,,
-35.0568,141.7763,,,,,,,,
-37.873,141.343,,,,,,,,
-34.8935,142.2692,,,,,,,,
-37.957,141.043,,,,,,,,
-35.0901,141.7096,,,,,,,,
-34.7969,142.3694,,,,,,,,
-34.1421,141.8858,,,,,,,,
-34.7621,142.3306,,,,,,,,
-34.8966,142.1412,,,,,,,,
-37.3653,142.1956,,,,,,,,
-35.0851,142.3127,,,,,,,,
-37.7902,141.0263,,,,,,,,
-37.45386644,144.5754348,,,,,,,,
-37.1757,142.3931,,,,,,,,
-34.8352,142.5537,,,,,,,,
-34.7068,142.2929,,,,,,,,
-37.407,142.393,,,,,,,,
-35.0401,141.7263,,,,,,,,
-36.77728933,144.9678183,,,,,,,,
-36.05,144.13,,,,,,,,
-37.8016,144.2928,,,,,,,,
-37.3,143.13,,,,,,,,
-37.2068,142.2096,,,,,,,,
-34.8194,141.7498,,,,,,,,
-34.23,141.52,,,,,,,,
-37.3735,142.3763,,,,,,,,
-36.7644,144.4956,,,,,,,,
-34.1552,141.1244,,,,,,,,
-36.7217,143.6467,,,,,,,,
-36.9568,141.7096,,,,,,,,
-37.3752,142.2838,,,,,,,,
-36.7753,141.2395,,,,,,,,
-34.9483,142.0017,,,,,,,,
-35.42,141.83,,,,,,,,
-34.23,141.52,,,,,,,,
-37.3735,142.3763,,,,,,,,
-34.1068,141.0763,,,,,,,,
-37.1194,142.7624,,,,,,,,
-34.2079,141.5891,,,,,,,,
-37.0068,142.4596,,,,,,,,
-36.7288,144.4732,,,,,,,,
-34.273,141.608,,,,,,,,
-37.25,143.48,,,,,,,,
-37.1525,142.8423,,,,,,,,
-35.6235,141.8429,,,,,,,,
-36.45,141.95,,,,,,,,
-35.0498,141.0347,,,,,,,,
-37.207,142.343,,,,,,,,
-34.7918,142.9955,,,,,,,,
-34.2671,141.0616,,,,,,,,
-36.9568,141.7096,,,,,,,,
-37.2874,141.1767,,,,,,,,
-37.0936,141.1763,,,,,,,,
-34.7318,141.6179,,,,,,,,
-36.457,141.943,,,,,,,,
-34.7068,141.4429,,,,,,,,
-36.7384,144.5042,,,,,,,,
-36.909,144.008,,,,,,,,
-36.82,143.67,,,,,,,,
