Name,Scientific Name,Class,Order
Sugar Glider,Petaurus breviceps,Mammalia,Diprotodontia
Latitude,Longitude,,
-38.58,143.5,,
-36.95,144.15,,
-37.38,144.27,,
-37.02,147.65,,
-35.82,144.22,,
-37.33,144.42,,
-37.87,145.28,,
-38.35,145.08,,
-38.48,144.93,,
-38.45,143.05,,
-37.88,145.37,,
-38.35,142.8,,
-37.73,147.6,,
-37.87,145.28,,
-37.68,145.22,,
-37.8333,144.2333,,
-38.62,143.72,,
-37.82,145.35,,
-37.62,145.25,,
-38.4,145.15,,
-37.53,145.33,,
-38.05,145.37,,
-37.52,145.75,,
-37.73,147.6,,
-37.6,145.1,,
-37.12,142.18,,
-37,143.13,,
-38.08,146.18,,
-38.2,145.23,,
-36.48,141.45,,
-38.33,145,,
-37.87,145.28,,
-37.65,145.5,,
-37.78,145.58,,
-37.3,144.95,,
-36.7,145.88,,
-38.35,145.37,,
-37.6,145.1,,
-37.7844,145.281,,
-37.17008799,149.1052847,,
-38.35,141.6,,
-37.18,145.72,,
-37.68,145.22,,
-37.07,144.22,,
-37.82,145.23,,
-37.88,145.22,,
-38.2,146.53,,
-37.78,145.53,,
-37.68,145.22,,
-38.03,145.35,,
-37.53,145.33,,
-38.35,141.6,,
-37.12,142.18,,
-37.6,141.4,,
-37.62,144.33,,
-37.77,147.45,,
-37.82,145.23,,
-37.2,142.53,,
-37.8,147.45,,
-37.78,145.53,,
-37.73,149.5,,
-36.85,145.67,,
-37.57,145.67,,
-37.7,145.58,,
-37.05,142.78,,
-37.62,145.25,,
-37.78,145.53,,
-38.37,145.57,,
-37.19,142.61,,
-38.15,146.78,,
-37.07,144.83,,
-36.43,147.2,,
-37.9,145.5,,
-36.98,145.72,,
-37.57,145.1,,
-37.62,145.25,,
-37.62,145.25,,
-37.93,145.45,,
-37.7844,145.281,,
-35.9,145.23,,
-36.73,146.32,,
-37.77,145.38,,
-37.75,144.9666667,,
-36.72,142.2,,
-36.72,142.2,,
-37.85,145.37,,
-37.57,149.75,,
-37.73,147.6,,
-36.78,146.08,,
-37.28,141.57,,
-38.2,146.53,,
-38.369,146.899,,
-38.3277,145.1713,,
-38.37,142.8,,
-37.8905,140.9871,,
-38.3467,145.5692,,
-37.9185,147.4376,,
-37.89247489,140.9968496,,
-38.3376,144.9491,,
-37.6735,144.7763,,
-37.8808,145.9846,,
-37.5283,145.5963,,
-37.1,144.5,,
-37.608,148.924,,
-38.3479,144.9706,,
-37.6735,144.7763,,
-37.2901,148.4762,,
-37.5003,145.4965,,
-37.173,142.343,,
-37.467,144.678,,
-36.1234,146.5929,,
-37.8588,147.4963,,
-37.8105,145.8078,,
-37.1913,142.5196,,
-38.5901,143.9263,,
-37.65,145.32,,
-37.7693,145.8902,,
-37.2208,144.0445,,
-37.6853,145.5717,,
-36.6797,145.0242,,
-36.1234,146.5929,,
-37.7517,148.5206,,
-37.531,145.594,,
-37.4295,145.7415,,
-37.5068,144.1763,,
-37.9568,145.4763,,
-37.2226,144.0455,,
-36.744,145.493,,
-37.7968,145.5536,,
-37.0235,148.7162,,
-37.6799,145.2418,,
-37.768584,145.007315,,
-37.8734,148.0429,,
-38.4547,146.5468,,
-36.7568,144.2596,,
-37.6978,145.1733,,
-38.083,146.532,,
-37.6798,145.5672,,
-37.4568,144.6263,,
-37.5431,145.5578,,
-37.0401,148.2095,,
-37.6901,145.0929,,
-36.7568,144.2596,,
-37.2226,144.0455,,
-36.3568,146.1929,,
-38.4411,146.9331,,
-37.7622,145.2079,,
-37.493,144.104,,
-37.8803,144.0058,,
-37.6799,145.2418,,
-37.8514,147.5281,,
-37.5901,148.0429,,
-37.9813,147.2238,,
-37.8186,145.9344,,
-37.1162,141.1055,,
-36.854,143.309,,
-37.53,142.33,,
-37.555,145.607,,
-37.1459,145.3983,,
-37.1853,142.4192,,
-37.53,142.33,,
-37.4946,145.5092,,
-37.902,145.682,,
