Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Tiger Snake,Notechis scutatus,Reptilia,Squamata,18,11,68,63,7.8,7.6
Latitude,Longitude,,,,,,,,
-37.7684,145.0785,,,,,,,,
-37.5903,141.6747,,,,,,,,
-37.896,144.799,,,,,,,,
-36.3468,145.3658,,,,,,,,
-38.2547,142.1254,,,,,,,,
-38,145.7,,,,,,,,
-36.35,146.3,,,,,,,,
-37.746,145.129,,,,,,,,
-36.358,146.335,,,,,,,,
-38.69914246,145.8109436,,,,,,,,
-38.0127,145.1141,,,,,,,,
-37.8696,144.7394,,,,,,,,
-37.731,144.831,,,,,,,,
-38.3948,145.0277,,,,,,,,
-38.06101379,144.3951653,,,,,,,,
-38.4568,142.9596,,,,,,,,
-37.5894,141.6759,,,,,,,,
-36.62,145.22,,,,,,,,
-38.3823,144.7819,,,,,,,,
-38.2014,142.0344,,,,,,,,
-37.6532,144.9783,,,,,,,,
-37.8108,144.7241,,,,,,,,
-37.25,145.95,,,,,,,,
-37.6168,144.9566,,,,,,,,
-37.73,144.65,,,,,,,,
-38.4177,144.9446,,,,,,,,
-38.2663,144.6226,,,,,,,,
-37.685,144.762,,,,,,,,
-37.68,145.15,,,,,,,,
-37.0496,146.0167,,,,,,,,
-37.5321,144.9612,,,,,,,,
-38.1422,145.3015,,,,,,,,
-37.7291,145.2145,,,,,,,,
-37.7782,145.1827,,,,,,,,
-37.8426,144.7974,,,,,,,,
-38.3921,144.9224,,,,,,,,
-37.801,144.713,,,,,,,,
-37.7043,144.4949,,,,,,,,
-37.7782,145.1827,,,,,,,,
-38.35,145.35,,,,,,,,
-36.1852,145.1613,,,,,,,,
-37.7941,144.4793,,,,,,,,
-37.87,144.83,,,,,,,,
-36.7901,146.3762,,,,,,,,
-37.623,142.543,,,,,,,,
-38.3568,143.5763,,,,,,,,
-37.6417,141.8026,,,,,,,,
-38.34719086,145.319809,,,,,,,,
-38.18,143.57,,,,,,,,
-37.6519,144.6772,,,,,,,,
-38.0234,147.5596,,,,,,,,
