Name,Scientific Name,Class,Order
Brolga,Grus rubicunda,Aves,Gruiformes
Latitude,Longitude,,
-36.2266,145.7889,,
-36.1542,146.4643,,
-36.9235,141.9263,,
-37.9979213,144.5917511,,
-37.9153,143.7633,,
-37.96261,143.00423,,
-37.4151,143.0846,,
-38.0711,143.3333,,
-37.9151,142.0847,,
-37.7283,144.2002,,
-37.9867998,143.0145442,,
-38.0018,144.5873,,
-36.80833,145.175,,
-38.1523,143.7455,,
-36.06651,146.26123,,
-37.9979213,144.5917511,,
-37.8886,143.0502,,
-38.234,143.832,,
-37.4778,141.4294,,
-38.0845,143.6358,,
-37.9979213,144.5917511,,
-38.0511,143.7554,,
-36.1556,146.4657,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.03388,142.59833,,
-38.1952644,144.4172144,,
-36.2266,145.7889,,
-37.8711,143.0541,,
-38.0576,143.8076,,
-37.9603,143.0044,,
-38.0845,143.6358,,
-37.9979213,144.5917511,,
-37.99748,144.56313,,
-37.8615663,142.9583364,,
-37.9979213,144.5917511,,
-37.55981,143.85326,,
-38.1842,143.9533,,
-37.62187,142.53186,,
-37.958945,142.9676345,,
-37.9979213,144.5917511,,
-37.9151,142.0847,,
-36.0818,145.2512,,
-37.6901,143.3763,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-38.107,143.762,,
-37.8125,142.3563,,
-37.7364,142.0284,,
-38.0951,143.6841,,
-37.54,141.043,,
-38.2052,144.39691,,
-37.8422,143.0541,,
-36.113,144.021,,
-36.0818,145.9179,,
-37.625109,142.7295685,,
-37.9979213,144.5917511,,
-38.0011529,143.0104498,,
-38.13207,143.76941,,
-37.9979213,144.5917511,,
-37.5818,142.0846,,
-37.9979213,144.5917511,,
-36.0818,145.2512,,
-37.9979213,144.5917511,,
-37.962,144.633,,
-36.1556,146.4657,,
-38.1302357,143.7593222,,
-38.0053,144.4129,,
-38.0818,142.7513,,
-38.2052,144.39691,,
-37.9979213,144.5917511,,
-38.1341,141.7721,,
-36.9805,141.7491,,
-37.8503,143.0391,,
-37.8886,143.0502,,
-38.0643,143.6522,,
-38.0261,143.7066,,
-37.12364,143.90099,,
-37.748,142.418,,
-37.5728,142.6303,,
-36.5252,144.8953,,
-38.062,141.503,,
-37.514,143.203,,
-37.9979213,144.5917511,,
-37.993,144.566,,
-37.9778,143.0662,,
-37.8624472,142.9655462,,
-37.9047,142.9566,,
-36.091,144.322,,
-37.9979213,144.5917511,,
-38.06,141.02,,
-37.5402,141.1263,,
-38.2568,144.0763,,
-37.9979213,144.5917511,,
-36.3554,144.2993,,
-37.679405,143.0613899,,
-37.94,143.04,,
-36.1504201,144.2273998,,
-37.9979213,144.5917511,,
-38.1195,143.7239,,
-37.9979213,144.5917511,,
-37.0403,141.2201,,
-37.9979213,144.5917511,,
-37.9464,142.8941,,
-37.495,143.725,,
-36.7602,145.1543,,
-37.5294,143.2602,,
-37.6493,143.0967,,
-37.962,144.633,,
-38,143,,
-37.9189143,142.9777908,,
-37.8864457,142.9380229,,
-37.6811,142.8456,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.612,143.218,,
-37.5971,142.5663,,
-37.9979213,144.5917511,,
-36.06651,146.26123,,
-37.9257,141.6116,,
-37.9972449,144.5666456,,
-37.186,141.369,,
-37.123,141.543,,
-38.083,143.939,,
-38.0602,143.6326,,
-38.0654,143.0572,,
-36.2297,145.6609,,
-37.0184,141.7394,,
-37.9979213,144.5917511,,
-38.136,143.681,,
-37.9979213,144.5917511,,
-37.6104,143.1557,,
-36.1565,145.88777,,
-38.12591,144.42489,,
-36.45571,144.30219,,
-37.9979213,144.5917511,,
-37.8711,143.0541,,
-37.1132,143.8999,,
-36.0818,145.0846,,
-38.0029,143.0236,,
-38.2052,144.39691,,
-37.9883,143.0313,,
-37.8187,141.3016,,
-36.6265,143.0888,,
-37.9979213,144.5917511,,
-38.082,143.418,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-36.0818,145.0846,,
-37.7485,142.0846,,
-38.3265751,143.7464905,,
-36.2494,145.6483,,
-36.41083,144.3742,,
-37.9152,141.5847,,
-37.8711,143.0541,,
-37.9979213,144.5917511,,
-38.2814,143.8182,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-38.0122,144.5617,,
-37.7485,143.0846,,
-37.8589153,142.9533149,,
-37.3901,142.1542,,
-38.0728,143.6354,,
-37.6676,143.0281,,
-38.0241,143.7555,,
-36.08333,146.25,,
-36.5261,145.0047,,
-36.6592,142.9689,,
-35.8919,143.9466,,
-37.1575,143.7616,,
-38.225,144.09166,,
-37.9979213,144.5917511,,
-38.201,142.039,,
-38.085,143.696,,
-37.8928,142.9788,,
-37.9979213,144.5917511,,
-38.2055,144.4195,,
-35.80751,143.8639,,
-37.8505,142.8694,,
-37.962,144.633,,
-36.2484,145.9179,,
-37.8147,142.9763,,
-37.9979213,144.5917511,,
-38.0711,143.6308,,
-37.9979213,144.5917511,,
-36.3683,145.8068,,
-36.4735,144.8788,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-36.0568,144.1263,,
-36.3734,144.3429,,
-37.9786,143.0194,,
-37.58056,142.45778,,
-37.9979213,144.5917511,,
-37.72,141.955,,
-37.8928,142.9788,,
-37.9979213,144.5917511,,
-37.8711,143.0541,,
-38.5818,143.0846,,
-37.5655,142.2863,,
-37.9979213,144.5917511,,
-38.0329,143.3176,,
-37.9979213,144.5917511,,
-38.2052,144.39691,,
-38.15833,143.69166,,
-38.0119808,144.5499281,,
-36.9152,141.0846,,
-37.66523,143.14666,,
-37.0138,141.6033,,
-37.832,141.668,,
-38.10241,143.61705,,
-37.1726,143.7513,,
-38.0805,143.7063,,
-37.9979213,144.5917511,,
-37.6108,143.2282,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.5772,143.1479,,
-37.8711,143.0541,,
-37.4211,143.1581,,
-37.56,142.57,,
-37.8501,141.4168,,
-37.58611,142.45,,
-37.7496,143.1313,,
-37.9979213,144.5917511,,
-37.582,141.918,,
-36.45571,144.30219,,
-38.0118722,142.9854585,,
-37.9979213,144.5917511,,
-37.0818,141.5846,,
-37.9979213,144.5917511,,
-37.0184,141.7394,,
-37.8711,143.0541,,
-37.9728235,141.3764477,,
-37.5834,141.4063,,
-38.2213,142.0278,,
-37.644,143.262,,
-38.4352792,144.129982,,
-36.1234,147.9595,,
-38.1301682,143.7551057,,
-37.9956216,142.6884556,,
-38.2003,142.0219,,
-37.40834,142.39986,,
-37.8869,142.9897,,
-37.9979213,144.5917511,,
-36.948,141.915,,
-37.94,143.04,,
-36.191,145.931,,
-38.086,141.693,,
-38.15349102,141.7743158,,
-36.9524,141.4107,,
-38.1032,141.1445,,
-36.191,145.932,,
-37.9979213,144.5917511,,
-38.2114,143.9087,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-36.519,142.934,,
-37.9979213,144.5917511,,
-37.9818959,144.5342231,,
-36.4151,146.0846,,
-37.9867998,143.0145442,,
-37.55,141.06,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.9979213,144.5917511,,
-37.8711,143.0541,,
-36.9235,141.9263,,
-37.9979213,144.5917511,,
-37.873,141.043,,
-38.0609,142.7802,,
-37.9614,143.0047,,
