Name,Scientific Name,Class,Order
Little Penguin,Eudyptula minor,Aves,Sphenisciformes
Latitude,Longitude,,
-38.51,145.13,,
-38.25,141.41,,
-38.51,145.13,,
-38.51,145.13,,
-38.41,142.25,,
-38.08,141.08,,
-38.31667,144.3333,,
-39.08,146.41,,
-38.25,141.58,,
-38.28481,144.42578,,
-38,141.5,,
-38.41,142,,
-38.08,141.08,,
-38.41,145.08,,
-38.15,145.18,,
-38.75,143.58,,
-38.25,144.58,,
-38.51,145.13,,
-37.91,148.08,,
-37.75,148.58,,
-38.25,145.08,,
-38.25,141.58,,
-37.97,144.9,,
-37.91,145.08,,
-38.22508,144.67327,,
-38.25,144.58,,
-37.58,149.75,,
-38.9,146.51,,
-38.51,145.13,,
-38.41,141.58,,
-38.41667,142,,
-38.58,145.75,,
-39.08,146.25,,
-38.25,144.41,,
-38.41539,142.00111,,
-38.43333,141.6667,,
-38.5,143.5,,
-38.41,145.08,,
-38.48202,145.01777,,
-38.41,142.25,,
-37.58,149.91,,
-38,145.08,,
-38.5,145.5,,
-38.51,145.13,,
-38.52,145.12,,
-38.275,144.5,,
-38.25,144.75,,
-38.08,141.25,,
-38.41,141.58,,
-38.25,144.41,,
-37.98183015,144.6679786,,
-38.51667,145.1417,,
-38.33511,142.04641,,
-39.12924,146.42466,,
-38.43205,142.18441,,
-38.25,141.25,,
-38.275,144.5,,
-38.51,145.13,,
-38.41,144.08,,
-38.41,141.58,,
-38.3,144.37,,
-38.38,142.21,,
-38.75,143.75,,
-39.15222,146.1975,,
-37.91,144.91,,
-38.25,144.75,,
-38.41,144.08,,
-38.31556,144.3592,,
-39.12924,146.42466,,
-38.51667,145.14166,,
-38.41,144.25,,
-38.41,144.91,,
-38.4,142.25,,
-38.25,144.58,,
-39.08,146.41,,
-38.43205,142.21781,,
-38.75,143.58,,
-38.13778,141.1814,,
-38.75,143.25,,
-38.08,144.41,,
-38.51667,145.1417,,
-38,141.5,,
-38.36536,144.28438,,
-38.51833,145.1186,,
-38.94167,146.25,,
-38.66,145.75,,
-39.04167,146.4656,,
-38.75,143.75,,
-38.41,141.58,,
-38.51,145.13,,
-38.41,142.25,,
-39.03139,146.3194,,
-38.41667,142,,
-38.41,142.08,,
-37.56,149.9,,
-38.25,141.75,,
-38.275,144.5,,
-38.83649,143.5519,,
-39.03008,146.32046,,
-38.41,145.41,,
-38.39344,142.25,,
-38.16517077,144.401319,,
-38.43205,142.18441,,
-38.41,145.25,,
-38.51,145.13,,
-38.51667,145.14166,,
-38.51,145.13,,
-38.41,142.41,,
-38.36,141.6,,
-38.275,144.5,,
-38.25,141.58,,
-38.76667,143.6555,,
-38.41,141.66,,
-38.41,145.08,,
-38.5,145.2333,,
-39.12924,146.42466,,
-38.51667,145.25,,
-38.275,144.5,,
-38.51,145.13,,
-38.275,144.5,,
-38.51,145.13,,
-38.275,144.5,,
-38.275,144.5,,
-38.75,145.91,,
-38.52195,142.7144,,
-39.1,146.25,,
-38.51,145.14,,
-37.58,149.75,,
-38.28472,144.4192,,
-39.16,146.33,,
-38.41,144.91,,
-37.91,144.91,,
-37.80694,148.7308,,
-37.56,149.9,,
-38.41,142.41,,
-38.25,144.58,,
-38.41,144.08,,
-39.08,146.25,,
-38.49667,142.6828,,
-38.41,142.41,,
-38.51667,145.1333,,
-38.39872,142.00111,,
-38.91,145.91,,
-38.41,144.75,,
-38.275,144.5,,
-37.91,145.08,,
-37.56,149.91,,
-38.34528,144.3183,,
-38.51,145.13,,
-38.36,141.6,,
-37.91,144.91,,
-38.41,144.75,,
-38.05,141.02,,
-38.25,144.41,,
-38.91,146.25,,
-38.51,145.13,,
-38.51,145.13,,
-38.51,145.13,,
-38.08,141.08,,
-38.4,145.17,,
-38.3875,144.25,,
-38.51,145.13,,
-38.41,145.25,,
-37.75,149.08,,
-38.25,144.58,,
-38.58,143.08,,
-38.41,144.75,,
-36.31,141.6,,
-38.41,144.91,,
-38.41,142.41,,
-38.51,145.13,,
-39.08,146.25,,
-38.51833,145.1183,,
-38.40177,142.5075,,
-38.41,145.25,,
-38.27,144.76,,
-38.48,145.21,,
-38.41539,142.00111,,
-38.38334,142.2333,,
-38.51,145.13,,
-38.35344,141.60141,,
-38.43205,141.66781,,
-38.51,145.13,,
-37.58,149.91,,
-39.08,146.41,,
-37.56532,149.91769,,
-38.35,141.6,,
-38.51,145.13,,
-37.91,148.08,,
-38.41,141.66,,
-38.38,145.15,,
-38.25,141.58,,
-38.25945,141.8411,,
-38.28481,144.42578,,
-38.51667,145.1417,,
-38.275,144.5,,
-38.25,144.41,,
-37.91,145.08,,
-38.51,145.13,,
-37.58,149.75,,
-37.58583,149.7353,,
-38.51,145.13,,
-37.97,144.9,,
-37.91,145,,
-38.25,144.41,,
-38.3,144.3833,,
-38.41,142.25,,
-38.43333,141.6667,,
-38.31519672,141.6013616,,
-38.275,144.5,,
-37.5,149.5,,
-38.51,145.13,,
-38.08,141.08,,
-37.58,149.91,,
-38.75,143.75,,
-38.275,144.5,,
-38.08,147.58,,
-38.51,145.13,,
-38.51,145.14,,
-38.25,144.58,,
-37.85833,144.85,,
-38.41,141.58,,
-38.38,141.65,,
-38.25,141.41,,
-38.41,145.25,,
-38.41,144.25,,
-38.08,145.08,,
-38.58,146.91,,
-38.51,145.13,,
-38.76667,143.6555,,
-38.45,145.25,,
-37.58,149.91,,
-37.56,149.9,,
-38.52,145.12,,
-38.25,144.75,,
-38.51667,145.14166,,
-39.12952,146.42386,,
-38.34849747,144.9679794,,
-38.51,145.13,,
-38.51,145.13,,
-39.08,146.25,,
-38.66202,145.75107,,
-37.93,145,,
-38.13,144.73,,
-38.36,141.6,,
-38.41,144.08,,
-38.08,141.08,,
-39.12952,146.42386,,
-38.51,145.13,,
-38.41,141.58,,
-38.51667023,145.1416626,,
-38.25,144.41,,
-38.25,141.58,,
-38.26,144.76,,
-38.58,146.75,,
-38.25,144.41,,
-38.5,145.5,,
-38.35344,141.60141,,
-37.58,149.75,,
-38.5,145.5,,
-37.56139,149.9111,,
-38.35,142.36667,,
-38.41,144.25,,
-38.31333,144.3639,,
-38.16,144.35,,
-37.91,144.58,,
-38.48,145.25,,
-38.28481,144.42578,,
-38.25,141.41,,
-37.58,149.91,,
-38.4001,142.4689,,
-38.51,145.13,,
-38.25,144.58,,
-38.91,146.41,,
-38.7,145.8,,
-38.51,145.13,,
-38.51,145.13,,
-38.51,145.13,,
-38.275,144.5,,
-38.25,144.58,,
-38.41,145.08,,
-38.58,145.58,,
-38.76667,143.6555,,
-38.46667,145.2,,
-38.5,145.5,,
-38.466,145.233,,
-38.41,145.08,,
-38.5,143,,
-38.36,142.33,,
-37.56809,149.9166,,
-38.24674,145.02777,,
-38.75,143.41,,
-37.91,144.91,,
-38.41,144.25,,
