Name,Scientific Name,Class,Order
Yellow-footed Antechinus,Antechinus flavipes,Mammalia,Dasyuromorphia
Latitude,Longitude,,
-36.5131,146.0692,,
-36.1068,146.6096,,
-37.1748,142.5395,,
-35.8234,144.3762,,
-36.3735,143.6263,,
-36.35,143.7,,
-36.9568,144.4763,,
-35.82,144.22,,
-37.1162,141.0965,,
-37.0818,143.7513,,
-36.87,145.73,,
-36.6614,146.1391,,
-36.1382,146.5716,,
-36.82,142.35,,
-37.0068,144.2096,,
-35.7734,144.2429,,
-37.118,141.113,,
-36.1068,146.6262,,
-37.216,143.449,,
-36.9862029,141.722517,,
-36.058,146.641,,
-36.4584,143.4871,,
-37.1235,142.3763,,
-36.1247,146.5784,,
-36.1401,146.5762,,
-36.1234,146.6262,,
-36.3733,143.5902,,
-35.6,144.1,,
-36.1234,146.5929,,
-36.1582,146.6427,,
-37.2068,142.3763,,
-36.1217246,147.0930999,,
-36.28,146.18,,
-36.3558,143.6899,,
-36.8734,144.6929,,
-36.7253,143.1049,,
-36.5401,144.2929,,
-36.6016,143.6996,,
-35.75,144.2,,
-37.1,142.35,,
-37.02,144.53,,
-37.85581,140.97984,,
-37.138,142.528,,
-36.7901,144.8763,,
-36.2734,145.3429,,
-35.7282,144.2233,,
-36.7655,144.9828,,
-37.1922,142.3652,,
-37.02,143.12,,
-36.6651,145.0013,,
-36.723,145.453,,
-37.0802,143.6962,,
-36.2068,145.1762,,
-36.14,144.88,,
-36.7901,141.6263,,
-37.2,142.28,,
-36.7495,144.9429,,
-37.6566,141.4163,,
-36.1734,145.0929,,
-37.0106,144.8269,,
-36.27,146.13,,
-36.58,144.92,,
-36.3734,145.3762,,
-36.7734,144.9596,,
-37.13,142.63,,
-36.79,141.793,,
-37.2553636,142.6288195,,
-37.45,141.55,,
-37.1554,141.8444,,
-37.1457,142.7495,,
-36.7407,144.9555,,
-36.78,144.97,,
-36.8178,144.4221,,
-36.1555,146.6293,,
-37.5242,142.4143,,
-37.0915,142.4264,,
-37.059,144.288,,
-37.207,142.293,,
-35.7371,144.2175,,
-36.7295,145.4641,,
-36.43,147.07,,
-36.1212,146.6028,,
-36.5424,146.1314,,
-36.1568,146.5762,,
-35.7886,144.2633,,
-37.0068,144.2596,,
-37.1455,142.6402,,
-36.7901,144.9763,,
-35.7394,144.2384,,
-36.7901,144.9596,,
-34.12,141.92,,
-36.7565,144.9797,,
-38.1741,141.5392,,
-36.7901,143.4596,,
-37.0068,144.2429,,
-36.1779,146.3735,,
-38.1513,141.4393,,
-36.2328,146.5711,,
-36.2441,146.7102,,
-36.8901,143.2763,,
-37.13,142.52,,
-37.44,141.143,,
-36.17,146.68,,
-36.6235,143.2596,,
-37.2901,142.6263,,
-37.4273,142.4543,,
-36.5822,143.7179,,
-36.593,143.719,,
-37.4343,142.4747,,
-36.8,143.28,,
-38.1522,141.5275,,
-38.1,141.444,,
-36.1168,146.6351,,
-37.15,141.33,,
-37.4735,141.2263,,
-36.62,143.27,,
-36.774,144.428,,
-36.4012,145.9501,,
-36.2901,143.6263,,
-37.84,141.293,,
-36.1986,146.5691,,
-36.8085,144.4504,,
-37.281,143.08,,
-36.2323,146.6913,,
-36.5052,145.3413,,
-36.123,146.824,,
-37.723,141.393,,
-37.7068,141.3263,,
-37.6402,141.2263,,
-36.7546,144.6784,,
-37.0698,142.7027,,
-37.6068,141.2763,,
-37.205,142.352,,
-37.995,140.9672,,
-36.244,146.688,,
-37.7568,141.2263,,
-38.123,141.465,,
-37.205,142.353,,
-37.0047,142.7743,,
-37.64,141.243,,
-37.3,143.1,,
-37.6235,141.2763,,
-36.67,143.28,,
-36.5401,143.7096,,
-37.973,141.293,,
-36.72,143.706,,
-36.8269,144.3848,,
-37.2536,142.6426,,
-35.8271,145.5393,,
-36.7902,145.0012,,
-36.1006,144.8411,,
-36.067,146.636,,
-37.6068,141.2097,,
-37.0902,141.4263,,
-36.3235,143.5596,,
-38.35,141.6,,
-37.99463,140.96729,,
-36.9068,143.2929,,
-38.1545,141.5008,,
-36.23,146.57,,
-37.9967,141.6735,,
-38.0187,141.6122,,
-38.1713,141.4327,,
-35.95,144.98,,
-38.1453,141.4913,,
-36.1234,146.7096,,
-37.6,141.4,,
-37.9952,140.9673,,
-36.6972,143.2172,,
-37.14,141.143,,
-37.7068,141.3597,,
-36.18,146.57,,
-37.88,142.07,,
-35.819,145.536,,
-37,143.13,,
-37.0594,144.2883,,
-37.12,143.22,,
-38.22,141.62,,
-36.2068,146.6262,,
-36.7837,144.9902,,
-37.2,145.72,,
-36.8318,144.4866,,
-37.28,142.93,,
-37.05,142.78,,
-38.1702,141.5398,,
-37.08,143.48,,
-36.6235,143.7929,,
-36.05,146.47,,
-37.63,141.37,,
-36.274,146.651,,
-35.92,145.65,,
-36.85,141.33,,
-38.05,141.02,,
-37.32,143.68,,
-35.83,145.5,,
-36.45,146.08,,
-36.65,146.55,,
-37.13,142.35,,
-36.22,147.18,,
-36.13,144.75,,
-36.35,146.32,,
,,,
-37.6,141.7,,
-37.19,142.61,,
-36.75,145.57,,
-35.94848529,144.4012978,,
-37.12,145.7,,
-36.65,145.03,,
-36.88,144.32,,
-36.1314,144.7547,,
-36.534,145.879,,
-37.9402,141.5097,,
-36.4,145.38,,
-36.8025,144.3016,,
-36.1284,146.6106,,
-36.7738,143.8143,,
-36.8735,144.1263,,
-37.152,142.798,,
-37.4068,141.2263,,
-36.92,144.82,,
-36.6235,143.6263,,
-37.1911,142.5962,,
-37.43,142.45,,
-35.9496,144.4539,,
-36.6235,143.7096,,
-37.4,142.12,,
-37.03,145.15,,
-37.5254,142.412,,
-36.7718,144.9782,,
-36.5797,145.9488,,
-36.785,143.846,,
-36.7848,145.0058,,
-36.6716,144.4963,,
-36.6083,145.9227,,
-36.1234,147.4595,,
-37.7,145.83,,
-36.1301,146.6093,,
-36.6226,145.9147,,
-38.2,146.53,,
-36.7203,143.1372,,
-36.6202,143.7516,,
-36.3568,146.3262,,
-37.07,143.22,,
-36.6234,144.3263,,
-36.7737,144.9848,,
-36.94,141.343,,
-38.0499,141.1878,,
-34.18501528,142.2004517,,
-36.618,145.945,,
-36.5831,145.7431,,
-37.2568,143.9596,,
-36.62,145.955,,
-36.6206,143.5717,,
-36.2895,146.1944,,
