Name,Scientific Name,Class,Order
Swamp Antechinus,Antechinus minimus maritimus,Mammalia,Dasyuromorphia
Latitude,Longitude,,
-38.457,144.043,,
-38.6401,145.5596,,
-38.6788,145.795,,
-38.8401,143.5763,,
-38.7,143.15,,
-38.6235,143.9596,,
-39.0149,146.2984,,
-38.4568,144.1263,,
-38.6315,145.5692,,
-38.441,144.123,,
-39.0168,146.3261,,
-38.0519,141.4382,,
-38.5898,145.5297,,
-38.9501,146.3117,,
-38.3318,145.5846,,
-37.82,141.18,,
-38.3926,144.1463,,
-39.08,146.23,,
-38.13,141.18,,
-39.0186,146.3122,,
-38.63,145.568,,
-38.391,144.218,,
-38.62,145.6,,
-38.931,146.296,,
-38.614,142.96,,
-39.1568,146.3096,,
-38.6688,145.6684,,
-38.6193,142.9696,,
-39.0594,146.3684,,
-38.1593,145.1673,,
-39.0901,146.2263,,
-38.39,144.22,,
-38.7901,143.3763,,
-38.67,143.85,,
-38.3396,144.1791,,
-36.7777,144.9545,,
-38.1833,141.6847,,
-38.77,143.23,,
-38.4605,144.1114,,
-39.0861,146.2347,,
-38.7068,143.2096,,
-37.8068,141.4263,,
-37.9956,140.9682,,
-37.92,141.27,,
-37.99446,140.96882,,
-39,146.37,,
-39.0901,146.3763,,
-37.58,141.4,,
-38.6369,145.5656,,
-38.42,144.18,,
-38.123,141.465,,
-38.3901,144.2096,,
-38.32,141.38,,
-39.12,146.4,,
-38.3952,144.2067,,
-38.8568,146.4429,,
-38.92,146.43,,
-38.3696,144.282,,
-39.0734,146.4263,,
-38.83,145.98,,
-38.87,146.43,,
-38.32,141.4,,
-38.38,144.17,,
-38.398,144.212,,
-38.4,144.18,,
-37.7735,141.4597,,
-38.8229,143.4889,,
-38.8293,143.5686,,
-39.02,146.45,,
-37.983,141.033,,
-38.35,141.6,,
-38.42,144.17,,
-38.45,143.58,,
-38.1934,141.6472,,
-38.2057,141.6871,,
-37.5,141.4,,
-39.1694,146.3094,,
-38.5575,143.4389,,
-38.4621,144.1033,,
-38.7151,146.6346,,
-38.159,141.449,,
-38.33,141.5,,
-38.671,145.628,,
-38.6103,142.9119,,
-38.661,145.587,,
-39.0401,146.2929,,
-38.75,143.5,,
-38.87,146.45,,
-38.43,144.1,,
-38.43,145.8,,
-38.8824,145.9354,,
-38.62,143,,
-38.1807,141.6676,,
-37.78895,140.99741,,
-38.0236,140.9957,,
-38.464,144.108,,
-38.1741,141.5392,,
-39.08,146.37,,
-38.19,141.493,,
-38.123,141.293,,
-38.4434,144.1121,,
-37.7,145.83,,
-38.725,146.642,,
-38.3937,144.2194,,
-38.6743,145.784,,
-38.7901,143.6263,,
-38.63,143.03,,
-38.4068,144.1263,,
-38.1954,141.6871,,
-38.43,144.07,,
-38.8734,145.9596,,
-39.0861,146.2311,,
-39.08,146.45,,
-38.871,145.939,,
-37.8402,141.3763,,
-38.65,145.78,,
-37.5735,141.2763,,
-38.6325,145.5703,,
-38.3735,144.1263,,
-38.0488,141.2255,,
-38.4245,144.1495,,
-38.873,143.543,,
-38.6669,145.5903,,
-37.99771,140.96657,,
-38.722,143.712,,
-38.58,142.92,,
-38.9,145.916,,
-38.62,142.97,,
-38.9182,146.4262,,
-38.22759515,142.0664835,,
-39.1,146.233333,,
-38.85,143.57,,
-37.42,141.22,,
-37.9568,141.0263,,
-38.9491,146.3166,,
-38.6945,145.8053,,
-39.1234,146.2096,,
-37.92,141,,
-38.1,144.33,,
-38.43,144.15,,
-37.8741,141.4685,,
-38.9,145.9,,
-38.6654,145.784,,
-38.92,145.93,,
-37.7068,141.2263,,
-38.7068,143.7096,,
-37.6,141.4,,
-38.8235,143.5763,,
-37.99532,140.96822,,
-38.2652,141.4306,,
-38.3735,141.6263,,
-38.3918,145.5647,,
-38.93,146.25,,
-38.35,144.33,,
-38.2285,141.6875,,
-38.9322,146.3286,,
-38.57,145.6,,
-37.823,141.393,,
-38.4568,144.2096,,
-38.5318,143.4984,,
-37.5532,141.2227,,
-38.75,146.53,,
-38.1974,141.7243,,
-37.8235,141.3763,,
-38.7428,146.4863,,
-38.3735,144.2096,,
-38.423,144.143,,
-38.6625,145.6766,,
-38.43,144.13,,
-37.998,140.9665,,
-39.0841,146.2283,,
-37.8735,141.3597,,
-38.157,141.443,,
-39.1555,146.3116,,
-38.7465,146.5012,,
-38.2,141.7,,
-38.3366,141.4882,,
-38.33,144.1,,
-38.4253,144.0699,,
-38.57,143.48,,
-38.7473,146.4932,,
-38.5401,145.5429,,
-37.99664,140.96762,,
-38.85,143.566,,
-38.3365,141.4997,,
-38.7464,146.4851,,
-38.2068,141.5097,,
-38.55,145.43,,
-38.83,143.55,,
-38.715,146.659,,
-38.6309,143.5978,,
-38.3008,141.4262,,
-38.395,144.226,,
-38.4684,144.1053,,
-38.0402,141.1778,,
-37.9439,145.6452,,
-38.7428,146.4875,,
-38.0023,140.9883,,
-37.9,141,,
-38.62,145.58,,
-38.7419,146.4886,,
-37.5568,141.2263,,
-38.77,146.32,,
-38.2199,141.6727,,
-38.0195,141.0958,,
-37.99506,140.96845,,
-38.1735,141.5097,,
-38.8234,145.9929,,
-37.99522,140.96836,,
-38.3837,144.1554,,
-38.0402,141.3263,,
-38,141.58,,
-37.9401,145.6929,,
