Name,Scientific Name,Class,Order
Diamond Python,Morelia spilota,Reptilia,Squamata
Latitude,Longitude,,
-35.9,143.4,,
-35.8,142.9,,
-37.5,149.8,,
-37.5,149.8,,
-34.2,141.4,,
-34.2,142.1,,
-37.8,149.3,,
-34.7,143,,
-37.5,149.8,,
-37.5,149.8,,
-36.17,146.17,,
-36.4,146.2,,
-35.2,143.4,,
-34.5,142.17,,
-34.8,143.3,,
-37.5,149.8,,
-34.8,143.3,,
-36.4,146.2,,
-34.00575,140.96719,,
-34.8,143.3,,
-36.4,146.1,,
-36.3,146.1,,
-36.4,146.1,,
-37.6,149.2,,
-34.7,142.7,,
-37.5,149.8,,
-35.9,142.8,,
-35.7,144.2,,
-36.3,146.2,,
-36.3,146.2,,
-34.2,142.1,,
-34.7,142.4,,
-36.2,143.8,,
-36,144.3,,
-37.6,149.8,,
-34.7,142.7,,
-36.3,146.2,,
-35.9,143.8,,
-37.6,149.8,,
-36.3,146.2,,
-35.7,143.9,,
-36.4,146.2,,
-34.2,142.2,,
-36.4,146,,
-36.4,146.2,,
-34.1,141.1,,
-35.8,144.1,,
-35.9,144.1,,
-37.6,149.7,,
-36.4,146,,
-37.5,149.8,,
-34.45,142.18,,
-36.4,146.1,,
-34.8,143.3,,
-35.7,143.1,,
-36.3,146.1,,
-37.5,149.8,,
-37.5,149.8,,
-36.2,146.1,,
-36.4,146,,
-36.4,146,,
-36.3,146.2,,
-34.65,142.4,,
-34.2,142.2,,
-36.3,146.1,,
-36.3,146.1,,
-36.4,146.2,,
-36.4,146.2,,
-34.1,141,,
-37.6,149.1,,
-34.4,141.3,,
-34.8,143.3,,
-37.5,149.8,,
-34.6,142.4,,
-37.8,149.3,,
-37.5,149.8,,
-37.5,149.5,,
-36.3,146,,
-35.8667,144.1,,
-37.6,149.8,,
-37.5,149.8,,
-34.8,143.3,,
-37.6,149.7,,
-37.8,149.3,,
-35.5,143.1,,
-37.7,149.7,,
-37.6,149.7,,
-34.2,142.1,,
-37.5,149.8,,
-34.9,143.3,,
-36.4,146.2,,
-37.8,149.3,,
-37.6,149.7,,
-36.3,146.2,,
-36.3,146.2,,
-36.3,146.2,,
-34.8,143.2,,
-35.8,144.1,,
-34.2,142.1,,
-35.5,143.1,,
-35.9,142.8,,
-36.1,144.2,,
-34.7,142.9,,
-36.3,146.2,,
-36.3,146.2,,
-35.9,142.8,,
-36.3,146.2,,
-36.4,146,,
-36.3,146.1,,
-34.6,142.7,,
-35.6,143.2,,
-36.4,146.1,,
-34.2,142.2,,
-36.3,146.2,,
-36.4,146.2,,
-36.4,146,,
-37.5,149.8,,
-34.1,141.7,,
-36.4,146.1,,
-34.8,143.3,,
-34.7,143.1,,
-34.1,141.7,,
-34.8,143.3,,
-34.1,141.2,,
-36,145,,
-35.5,143,,
-34.8,143.3,,
-36.4,146.3,,
-36.1,143.8,,
-37.6,149.7,,
-35.7,143.9,,
-36.5,146,,
-36.4,146.1,,
-36.4,146.1,,
-34.7,142.4,,
-37.6,149.8,,
-36.1,143.8,,
-37.6,149.7,,
-34.2,142.2,,
-34.6,142.4,,
-35.2,143.4,,
-34.1,141.1,,
-36.4,146,,
-36,147.7,,
-36.5,145.9,,
-35.7,143.7,,
-34.5,141.5,,
-34.8,143.3,,
-36.2,146.2,,
-37.5,149.6,,
-34.8,143.3,,
-37.6,149.7,,
-34.7,142.3,,
-35.8,142.9,,
-37.8,149.3,,
-34.8,142.6,,
-35.7,143.9,,
-34.8,143.3,,
-34.7,142.4,,
-34.8,143.3,,
-36.3,146.2,,
-35.1,143.3,,
-37.4,149.7,,
-36.2,142.9,,
-34.2,142.2,,
-35.7,144.2,,
-35.5,143.2,,
-37.5,149.8,,
-36.4,146,,
-37.5,149.8,,
-35.9,142.9,,
-37.6,149.8,,
-35.9,142.9,,
-35.73,143.88,,
-37.6,149.1,,
-35.98,144.2,,
-36.42,146.12,,
-36.42,146.12,,
-36.42,146.22,,
-36.42,146.12,,
-36.42,146.12,,
-36.13,144.75,,
-35.98,144.2,,
-36.42,146.12,,
-37.6,149.8,,
-35.73,143.88,,
-36.42,146.12,,
-34.00575,140.96719,,
-36.42,146.12,,
-35.77,142.92,,
-35.9333,147.7,,
-37.5,149.8,,
-36,144.2,,
-34.2,142.15,,
-35.9,142.8,,
-36.4,146.1,,
-34.8,143.3,,
-37.6,149.7,,
-37.5,149.9,,
-36.2,144.2,,
-34.6,142.4,,
-37.5,149.8,,
-37.5,149.8,,
-36,144.2,,
-34.8,143.3,,
-35,143.3,,
-35.9,144.1,,
-34.8,143.3,,
-34.1,141.2,,
end,,,
