Name,Scientific Name,Class,Order
Lace Monitor,Varanus varius,Reptilia,Squamata
Latitude,Longitude,,
-38.5064,146.0212,,
-36.014,145.254,,
-37.0937,143.5336,,
-38.2166,147.3175,,
-38.3237,146.7501,,
-37.1067,148.4429,,
-34.5805,142.4083,,
-38.3585,146.4043,,
-38.5267,145.6974,,
-36.3709,145.1056,,
-38.6071,146.5746,,
-38.6474,146.1951,,
-37.697,145.542,,
-38.556,145.739,,
-36.781,143.263,,
-36.8588,145.1217,,
-38.3473,145.6114,,
-36.63417,144.99985,,
-37.4851,148.7777,,
-37.8427,145.3292,,
-38.7164,146.0241,,
-38.5714,145.9285,,
-37.5462,149.1095,,
-36.1338,146.4016,,
-38.3473,145.6114,,
-37.4766,149.0365,,
-36.5151,144.4266,,
-36.0938,145.5244,,
-37.0045,142.7327,,
-36.63417,144.99985,,
-37.9229,147.0541,,
-37.7357,148.2786,,
-37.7901,147.0429,,
-36.2964,146.1498,,
-36.1841,145.2069,,
-34.8735,142.4596,,
-36.109,146.624,,
-37.5401,145.2926,,
-37.77,145.58,,
-36.32,145.05,,
-36.32,145.05,,
-38.1,145.72,,
-37.65,145.52,,
-34.3,142.22,,
-38.3,145,,
-36.05,146.47,,
-36.47,145.38,,
-37.77,145.58,,
-37.88,147.85,,
-38.5444,146.7126,,
-37.8214,145.5702,,
-36.1338,146.4016,,
-37.4237,149.5231,,
-37.6238,145.3496,,
-37.7416,149.4955,,
-38.367,145.6,,
-37.7679,148.2915,,
-38.2955,146.6612,,
-37.7901,147.6262,,
-38.6266,145.8542,,
-37.463,148.546,,
-37.7111,148.6616,,
-37.441,149.511,,
-37.581,145.363,,
-37.9686,145.7563,,
-36.3564,144.7839,,
-36.757,141.843,,
-37.2943,149.4172,,
-38.7613,146.0005,,
-36.0734,144.1596,,
-36.0499,144.1433,,
-36.0677,147.8124,,
-36.4978,144.3803,,
-35.9498,147.4176,,
-37.827,145.666,,
-36.0005,144.4301,,
-38.5912,146.4426,,
-37.55,149.7,,
-36.5401,141.9596,,
-38.6699,145.8661,,
-38.562,146.101,,
-38.9132,146.3178,,
-36.5113,144.4178,,
-37.7203,148.9988,,
-37.632,145.341,,
-38.5127,146.0211,,
-37.581,145.363,,
-37.9185,147.4376,,
-38.4635,146.8368,,
-37.9185,147.4376,,
-38.6255,145.9277,,
-36.1567,145.4376,,
-37.9185,147.4376,,
-37.8738,147.8614,,
-37.9185,147.4376,,
-36.6746,144.4683,,
-36.1852,145.1613,,
-34.7153,142.4019,,
-37.8734,148.0429,,
-37.985,145.493,,
-36.8778,143.8338,,
-37.9185,147.4376,,
-37.9185,147.4376,,
-38.325,145.677,,
-37.9707,146.0864,,
-38.7161,145.8838,,
-38.325,145.677,,
-36.15,146.6,,
-37.5863,145.3085,,
-37.9185,147.4376,,
-37.3897,148.1021,,
-37.2317,148.3679,,
-37.7423,149.4975,,
-37.4902,145.4012,,
-37.3843,148.0505,,
-37.6787,148.9497,,
-37.828,146.818,,
-37.4075,149.5203,,
-37.7702,148.4177,,
-37.4,148.1,,
-37.26,148.728,,
-37.1142,148.3243,,
-37.4448,149.6703,,
-36.22,146.23,,
-36.054,147.215,,
-37.2603,148.7276,,
-34.1519,142.1431,,
-37.4472,148.5499,,
-38.4747,146.6842,,
-37.45,148.55,,
-38.4455,146.8036,,
-37.5618,149.7246,,
-36.1134,144.2387,,
-36.1517,146.7965,,
-37.5954,149.7241,,
-36.1487,143.5117,,
-37.389,148.101,,
-34.7707,142.3678,,
-36.3325,146.5488,,
-36.1341,147.2974,,
-34.7423,142.3291,,
-36.1754,146.6493,,
-37.4445,148.4192,,
-36.3355,146.5811,,
-37.4448,148.4215,,
-37.6734,148.0762,,
-37.4447,148.4198,,
-37.2592,148.7286,,
-37.4447,148.4198,,
-37.598,149.725,,
-37.389,148.101,,
-36.1348,146.6261,,
-37.45,148.55,,
