Name,Scientific Name,Class,Order,Maximum Temperature,Minimum Temperature,Maximum Humidity,Minimum Humidity,Maximum Wind Speed,Minimum Wind Speed
Platypus,Ornithorhynchus anatinus,Mammalia,Monotremata,27,13,83,75,8,3.54
Latitude,Longitude,,,,,,,,
-37.16824568,148.9302956,,,,,,,,
-37.03,145.13,,,,,,,,
-37.03,145.13,,,,,,,,
-36.35,146.32,,,,,,,,
-35.92,145.65,,,,,,,,
-37.7,145.52,,,,,,,,
-37.03,145.13,,,,,,,,
-36.35,146.32,,,,,,,,
-35.96001626,147.7673688,,,,,,,,
-37.27,145.87,,,,,,,,
-37.7,145.52,,,,,,,,
-35.35,143.55,,,,,,,,
-36.35,146.32,,,,,,,,
-38.25,143.98,,,,,,,,
-37.03,145.13,,,,,,,,
-37.58,144.72,,,,,,,,
-37.7,145.53,,,,,,,,
-37.58,144.72,,,,,,,,
-37.88,145.37,,,,,,,,
-37.85,144.92,,,,,,,,
-37.28,143.65,,,,,,,,
-37.73,144.65,,,,,,,,
-37.78,144.92,,,,,,,,
-38.57,143.7,,,,,,,,
-36.05,146.17,,,,,,,,
-37.03,145.15,,,,,,,,
-36.02,146,,,,,,,,
-37.42,145.7,,,,,,,,
-36.35,146.32,,,,,,,,
-35.98760366,147.8445752,,,,,,,,
-37.03,145.13,,,,,,,,
-38.25,143.98,,,,,,,,
-38.2,146.53,,,,,,,,
-37.58,144.72,,,,,,,,
-38.03,142.62,,,,,,,,
-37.82,145.05,,,,,,,,
-37.03,145.13,,,,,,,,
-36.10706542,147.4216342,,,,,,,,
-37.8,145.03,,,,,,,,
-37.03,145.13,,,,,,,,
-36.47,147.25,,,,,,,,
-36.35,146.32,,,,,,,,
-37.03,145.13,,,,,,,,
-37.37,143.95,,,,,,,,
-37.58,144.73,,,,,,,,
-37.78,145.03,,,,,,,,
-38.03,142.62,,,,,,,,
-36,146.533,,,,,,,,
-37.77,145.35,,,,,,,,
-37.92,146.78,,,,,,,,
-37.03,146.08,,,,,,,,
-37.72,145.15,,,,,,,,
-37.8,145.03,,,,,,,,
-37.75,143.32,,,,,,,,
-37.58,144.72,,,,,,,,
-37.77,145.35,,,,,,,,
-37.7,145.52,,,,,,,,
-36.037,146.3948,,,,,,,,
-38.35,143.58,,,,,,,,
-37.03,146.08,,,,,,,,
-37.03,145.13,,,,,,,,
-38.57,143.9,,,,,,,,
-36.02,147.55,,,,,,,,
-37.82,145.05,,,,,,,,
-36.05,146.17,,,,,,,,
-37.58,144.73,,,,,,,,
-37.7,145.53,,,,,,,,
-37.3,144.13,,,,,,,,
-37.7,145.52,,,,,,,,
-37.73,144.65,,,,,,,,
-37.75,145.7,,,,,,,,
-35.73,143.92,,,,,,,,
-37.58,144.72,,,,,,,,
-36.75,147.18,,,,,,,,
-37.58,144.72,,,,,,,,
-36.07984278,146.8741327,,,,,,,,
-37.7,145.52,,,,,,,,
-37.68,143.37,,,,,,,,
-37.32,144.13,,,,,,,,
-37.03,145.15,,,,,,,,
-38.03,142.62,,,,,,,,
-37.87,145.75,,,,,,,,
-37.58,144.73,,,,,,,,
-37.77,145.35,,,,,,,,
-37.7,145.52,,,,,,,,
-37.03,145.13,,,,,,,,
-37.3,144.13,,,,,,,,
-38.23,146.4,,,,,,,,
-37.47,145.15,,,,,,,,
-37.03,145.13,,,,,,,,
-37.3,144.13,,,,,,,,
-37.43,145.7,,,,,,,,
-38.43,142.6,,,,,,,,
-36.77,146.42,,,,,,,,
-36.02,146,,,,,,,,
-36.00845851,146.5975205,,,,,,,,
-37.27,145.87,,,,,,,,
-35.92,145.65,,,,,,,,
-37.53,145.47,,,,,,,,
-37.18,145.05,,,,,,,,
-36.22,147.18,,,,,,,,
-37.03,145.13,,,,,,,,
-36.47,147.25,,,,,,,,
-36.35,146.32,,,,,,,,
-36.05,146.18,,,,,,,,
-36.77,146.42,,,,,,,,
-37.1661,143.2027,,,,,,,,
-36.7326,145.9884,,,,,,,,
-36.3171,145.3665,,,,,,,,
-37.259,145.829,,,,,,,,
-36.5466,147.6275,,,,,,,,
-37.3666,144.0037,,,,,,,,
-37.7325,145.1986,,,,,,,,
-37.5734,147.3762,,,,,,,,
-38.7661,143.6668,,,,,,,,
-37.48,148.63,,,,,,,,
-35.9766,144.4149,,,,,,,,
